input_text,target_text
مزاحیہ چیز ضارب کہتا ہے یہ دونوں امیدوار رڈلف گیلانی کہلاتے ہیں,یجنسی سے وضاحت مانگی جا رہی ہے۔
وہ جذبات کے اظہار کے لیے راستوں کا تعین کرتا ہے۔,"دہلی واشنگٹن اور ''دیگر"" ہیں۔"
زمبابوے کا دورہ پاکستان کنفرم پاکستان میں انٹرنیشنل کرکٹ کے دروازے کھلنے کی امید,جسے سن کر عبدالقادر کی انکھیں
بات اچانک یہاں تک نہیں پہنچی یہ برسوں کا سفر ہے۔,چیزوں کی سمجھ نہیں آتی
ویتنام کے سفیر کا اسلام باد چیمبر کامرس کا دورہ,علما کی فتوی سازی کے نتیجے میںیہ امور گویا حکومت اورعدلیہ کے ہاتھ سے نکل کر غیر متعلق افراد کے ہاتھوں میں آجاتے ہیں
کانگو - کنشاسا,بلکہ اس میں پانچ اسپیشلسٹ بیٹسمینوں سمیت دس کھلاڑی اور بھی ہیں
تو پھرکیا گزرے گی,ہالی ووڈ جانے کی
کھانے کی میز کے پاس مت تھوکئے,ہم نے ایسا کوئی بیان نہیں دیا
اپنے کمرے میں ترتیبی پاتا ہوں,اس کا اہتمام وہ اپنے مقامی کلچر کے مطابق کرتی ہے۔
خود ہی بتا رہے ہیں کہ مریض ٹھیک آتے تھے اور ادھر آ کہ مرنے کے قریب ہو جاتے تھے,گے پھر کیا ہو گا
کورونا کی وبا کی وجہ سے لاک ڈاؤن تھا,دامن نچوڑ دیں تو فرشتے وضو کریں''
میں تمہاری آواز سننے کےلیے تڑپ رہا تھا,اس کا مطلب ہے۔
وہ بھی پوری ہو جائے۔,ہم نے کیا بنا دیا
یہ وینٹی لیٹر پر پریشربڑھاتےہیں جس سے سانس کےمسائل ہوتےہیں,جیسے پہلے تھی۔
تاہم یہ وقت اور ہے۔,جو کا بل بونا وہ کھلنا عام شکار کرنا ہونا
ماہرین کا خیال ہے کہ پھل اور سبزیاں انسانی خوراک کا لازمی جز ہونی چاہئیں,احسان مانی اسد خان کی پی سی بی گورننگ باڈی میں نامزدگی نوٹیفکیشن جاری
اس مدد کیلئے زلزلہ یا سیلاب کا متاثر ہونا ضروری نہیں ھے اور نہ ہی لائن میں لگ کر ڈانڈے کھانے کی ضرورت ھے,جانے کا وقت ہےخدا حافظ
اب تو وہ بھی نہیں رہا۔,ہم ان کو دانہ چنتے ہوئے
حکومت ملکی پیداوار کی شرح بڑھانے کیلئے اقدامات کر رہی ہےہارون اختر,پاکستانی نژادبرطانوی باکسر عامر خان کی اہل خانہ کےہمراہ داتادربار حاضری
اس کی آواز کانپنے لگی۔,شیوے کیلئے سال تک کوئی فلم سائن نہیں کی اجے
اپنا کچھ کرنا ہے۔,جہاں تک طلعت حسین کی بات ہے میں تو اسے صحافی ہی نہیں سمجھتا
یہ بک کی پہلی سفر سے متعلقہ تشہیر نہیں ہے,میں راولپنڈی شہر میں رہتا ہوں۔
میں بہت سی چیزوں میں خوف زدہ ہو جاتا ہوں,گنے کے کاشتکاروں کو بینکوں کے ذریعے ادائیگی کا فیصلہ
گرنے لگیں تو اسحاق ڈار بن جاتے ہیں۔,انڈیا میں ٹک ٹاک
جدید ریاست ماضی کے مقابلے میں کہیں زیادہ منظم ہے۔,جنہیں وینٹیلیٹر چلانا تو کیا نام بھی صحیح طرح لینا نہیں آتا وہاں پر بنائی گئی ویڈیو بھی موجود ہیں
وزیر تعلیم سندھ سعید غنی نےکہا,گویا انھیں قرآن مجیدکامفہوم سمجھنے سنت ثابتہ کا مدعا متعین کرنے
رہی دادی تو گھر میں سب سے بڑی فتنہ پرور وہی ہے۔,تنویر احمد خان مرحوم ہمارے سیکرٹری خارجہ رہے ہیں۔
اور پودوں کے پتے سبز,کہ زر مبادلہ کے ذخائر گر رہے ہیں اور اتنے محدود
کیوں کر کہوں لو نام نہ ان کا مرے آگے,بچوں کے انٹرنیٹ کے استعمال کا جائزہ لیا گیا
یہی کچھ یہاں ہوا۔,مملکت کے ہسپتالوں میں اس کےعلاج کے لئے بہترین خدمات مہیا کرنا ہے
یہ کیسے ویران ہوا وہ الگ داستان ہے۔,افغانستان کے ہاتھوں شکست کے بعد سری لنکا ایشیا کپ سے باہر
آپ کہاں سے ہیں,بی بی سی نے بہت دیر کردی یہ چیز دکھانے میں۔
وہ سیاسی دائرے میں محمود کیسے ہوگئی,آجکل لالہ کے بجائے ملالہ ملالہ ہوئی پھری ہے ۔
پانچ کروڑ روپے سے,آپ نے بہت ہی اچھی رپورٹ بنائی
آبادی کا مسئلہ ایک سماجی معاملہ ہے,وہ بہت باتونی ہے
مجھے کراچی گئے دس سال سے زیدہ عرصہ ہو گیا ہے,میں نے خالی جگہ کھینچی
اللہ اللہ خیر سلا کم از کم جان تو محفوظ رہتی تھی۔,اور اگر قسم کھا لی جاۓ تو
دوسروں کے ساتھ رابطے سے پرہیز کرتا ہوں,سڑکوں کی بندش سے تیل کی سپلائی میں تعطل ملک میں تیل کے بحران کا خدشہ
سلمان صف عامر پر تاحیات پابندی کی درخواست,یہ پاکستان ہے۔
ڈوبا یہ الغاروں پیسہ جو ہے۔,جے آئی ٹی کو مطمئن کرنا ہو گا۔
نیت اب میری بھری رہتی ہے,جو شخص اپنے ساتھی کی ڈھال استعمال کرے۔
وہ بے بسی کی ایک تصویر ہیں۔,سابق کوچ کمبلے کو ہٹانے کیلئے کوہلی کی سازش کا راز فاش
تعلیمی دھوکےبازی پر اپنے مطالعہ میں سات بدترین ریاستوں میں,ونڈوز کے اس نئے ورژن کا انٹرفیس موجودہ ونڈوز سے کچھ زیادہ مختلف نہیں
ڈرائیور کے بغیر بس نے خودکار طریقے سے سفر طے کیا,ہربھجن سنگھ کے گھر بیٹی کی پیدائش
کھانوں کے لیے مشہور ہیں,اب نمودار ہوگا اس کے لیے فکر اسلامی کی
مغربی میڈیا میں فیشن بن چکا ہے کہ پاکستان میں ہونے والےہر واقعہ میں آئی ایس آئی کو ملوث کیا جاۓ,یہ آسان آپریشن نہ تھا۔
اس ان بیٹری کے گز بیک گراؤنڈ میں چلتے ر گے اور ضروری ڈیٹا اکھٹا کر ر گے,سعودی عرب پر بلا واسطہ تنقید کی تھی
یہ کیسی تفسیر ہے جو مضامین کو مزید الجھا رہی ہے,مجھے بھوک بہت کم لگتی ہے
پر اپنی محنت سے حاصل کیا ہے,جبکہ مصباح الحق اور یونس خان جیسے سینئرز صرف اس لیے اب تک کھیل رہے ہیں
ہم لوگ ادھر ووٹ نہیں ڈال سکتے سیاست نہیں کرسکتے,کرا چی کو قومی دھارے میں لانا آج ملک کی ضرورت ہے۔
اس طریق قانون سازی سے سمجھوتاکیے رہتے ہیں,دن میں جذب کی گئی کاربن ڈائی آکسائیڈ کے مقابلے میں بہت کم ہوتا ہے
اس میں دوسرے نقطہ ہائے نظر کو قبول کیا جاتا ہے۔,قبائلی
پاکستان کو صحیح قیادت کی ضرورت ہے۔,آسانی سے چیزوں سے پریشان نہیں ہوتا
مشاہد ہ کرنے کی عادی ہیں,نتیجہ یہ نکلا جو ہمارے سامنے ہے۔
جب گاڑی نے ہماری منزل پر آ کر بریک لگائی تو سب نے نیک خواہشات کے ساتھ ہمیں الوداع کیا,ایک فلاپ فلم کے بعد لوگ کالز اٹھانا بند کردیتے ہیں
دائرۂ اسلام سے خارج قرار دیا ہے,ان میں سب سے اہم وژن اور اس کے بعد قوت نافذہ ہے۔
اور دوسرا پانی کی ایک عجیب خاصیت تھی,تو رحمت کے فرشتوں کا نزول ہوتا ہے۔
پھر ہم جانتے ہیں۔,ہمیشہ چلتا پھرتا رہتا ہوں
ان کی باتوں سے اخلاص ٹپکتا ہے۔,میں نے شعر افسانے اور ناول کا مطالعہ ضرور کیا ہے
اوگرا کی گیس ٹیرف مقرر کرنے کیلئے نئے طریقہ کار پر مشاورت مکمل,کتنے ہی مسافر اس قسم کے الم ناک حادثے سے دوچار ھوۓ
انہوں نے اضافہ کرنا کہ چھٹی کا سیزن میں کنسول پوری دنیا کا ممالک میں دستیاب ہونا گانا,انتہائی شاندار اوپننگ لی ہے۔
ان میں وہ نہ تھی۔,جو شخص اپنے ساتھی کی ڈھال استعمال کرے۔
یہ مسئلہ بھی سپریم کورٹ نے کھنگالا۔,اللہ تعالی کے حسن و جمال
بات لمبی ہو گئی۔,اہل فلسطین جتنے تنہا آج ہیں پہلے کبھی نہیں تھے۔
شادی ہوتی ہے۔,کہ آخر زمین کا درجہ حرارت بڑھنے کے اس عمل کو
کیمپوں میں درپیش مسائل کو کیسے حل کیا جا رہا ہے,ننگے پاؤں مت چلو
لیکن پولیس کے ہاتھ لمبے ہوتے ہیں۔,لیکن آواز تھی۔
الجزائر کے انتخابی نتائج اس بحث کا محرک بنے تھے۔,ری کنڈیشنڈ گاڑیوں کی درامد پر عائد پابندی ختم کرنے کی تجویز
پاکستان سے ٹیسٹ سیریز سٹریلین اسکواڈ سے میکسویل ڈراپ,صاحبان عزیمت کی داستانیں ہیں
محمد علی باکسنگ کے چیمپئن تھے۔,ہماری ہر حکومت اہل مذہب کے خوف میں مبتلا رہی ہے۔
کبھی نارمل نہیں ہونا۔,موتیابند آنکھ کے قدرتی عدسہ کے دھندلا جانے کا حوالہ دیتے ہیں
کاش یہ وقت کبھی نہ گزر,نہ رہے گا بانس نہ بجے گیبانسری
وہ وقت نہیں رہا۔,لیکن یہ ایک طویل روایت پر تعمیر ہو رہا ہے
جہاں میں زیرتعلیم ہوں یہ جگہ اسلام آباد کی حدود میں ہی ہے,درپیش قضیے کا تعلق رویے سے ہے۔
وہ صرف تجربہ کرنے کی چیز ہے اور بتائی نہیں جاسکتی,ہم کب سے اعلانیہ کہہ رہے ہیں
جن کا کام ہے۔,ہم چلتے رہے جب تک ہماری ٹانگوں نے ہمارا ساتھ دیا
قوم کے ذہنوں میں۔,خلیفہ اہل علم و تقوی سے مشورہ کرنے کے بعد ایک رائے قائم کرتا
جب عوام جمہوریت کی برکات سے فائدہ اٹھا رہے ہیں۔,مقامی فلم انڈسٹری کو
ہمت تو دور کی بات ہے۔,اگر یہ صورتحال ہے۔
چارپائی برآمدہ میں بچھا دو,بچہ اسے دیکھ کر یقینا خوش ہوگا
یہ ایک شان دار روحانی تجربہ تھا,نئی دہلی دسمبرایجنسی بین الاقوامی سطح پر خام تیل کی قیمت میں گراوٹ سے پٹرول مسلسل سستا جبکہ ڈیزل مہنگا ہو رہا ہے
میرے کئی دوست ایسے کرتے ہیں۔,یوں مذہب کے علمبرداروں سے خیر کا صدور ہو رہا ہے۔
ونڈوز کے اس نئے ورژن کا انٹرفیس موجودہ ونڈوز سے کچھ زیادہ مختلف نہیں,اس کی بات مکمل ہونے
بہرحال واپس لوٹیں گے۔,ان کے گانوں کی سلیکشن الگ ہوتی ہے۔
احمد شہزاد کے کیریئر کا اختتام,ریاست عام شہری پر مقدم رہی ہے۔
ایک نمبر ہے,سلمان صف عامر پر تاحیات پابندی کی درخواست
بارسلونا اوپن ٹینس اسٹار کھلاڑی نے کوارٹر فائنل میں جگہ بنا لی,اور سب ختم ہوجائے
تو چند ماہ میں عدلیہ میں بھی تبدیلی آ چکی ہو گی۔,اور اکثریت کا ماننا ہے کہ ناکامی کی اصل وجہ مصباح الحق کی دفاعی حکمت عملی ہے ۔
ہونا تو چاہیے۔,اور وہی سب لوگوں کی رائے بن جاتی
شاید ہمارے پاکستان میں,تو ان کا قد ایک عام دمی کی ہتھیلی کے برابر تھا
منیجر نے اپنے ایک ملازم سے پوچھا,آدھے سر کا درد یعنی درد شقیقہ کو انگریزی میں مائیگرین کہا جاتا ہے
جنوبی الٹائی,ایک اس موقع پر جب کوئی صاحب علم شریعت کے کسی مئلے کے بارے میں اپنی رائے پیش کرتا ہے
عقلمند کو اشارہ ہی کافی,عروہ اور فرحان برلن میں کیا کررہے ہیں
اب ہم احتجاج کر رہے ہیں کہ کشمیر کے سپیشل سٹیٹس کو,کرس میک ریلی ارجنٹائن کے فاتح تیرہ برس بعد ورلڈ ریلی چیمپئن جیتنے والے پہلے برطانوی
اسی میں ہے۔,کم و بیش متروک ہو گیا ہے
تنہائی کی شامیں اب زہر لگتی ہیں۔,ورنہ قادری صاحب تو کرہی رہے ہیں۔
یہ وینٹی لیٹر پر پریشربڑھاتےہیں جس سے سانس کےمسائل ہوتےہیں,کرکٹ بلے اور گیند سے کھیلا جانے والا کھیل ہے
کویت میں پاکستانیوں کی نوکریاں متاثر ہونے کا امکان ہے,گویا حکومت کا کام ہے۔
تجربہ یہ ہے کہ دھرنے صرف حادثات کو جنم دیتے ہیں۔,تصویر کو یک رنگی بھی بنا سکتے
امریکی ساموآ,وہیں رہتی ہے۔
ہوا کی کاربن ڈائی آکسائیڈ,یعنی کوئی کیفیت دائمی نہیں رہتی۔
ہمارا مقابلہ اپنی پسماندگی سے ہے۔,آج کوئی تو کل ہماری باری ہے
اندرا گاندھی اور مجیب الر حمن کا بھی پوچھ لینا,کمزوری دل نے دکھا دی۔
تمہارا زپر کھلا ہوا ہے,وزیراعلی پنجاب کی ایشیئن بینک کے وفد سے ملاقات
نئی منزلوں تک لے جانے میں کامیابی حاصل کریں,ڈاکوٹا
گجراتی,''انٹرنیشنل بریگیڈ‘‘۔
وہ قتل بھی کرتے ہیں تو چرچا نہیں ہو تا۔,چار کو بیٹھنے کی جگہ مل گئی باقی چار لٹک گئے ۔
نے متعلقہ ججوں کو مرتد یعنی دین سے منحرف,حملے کے بعد پولیس کو طلب کر لیا گیا ہے
وہ میری نادانی پر بےاختیار کھلکھلا کر ہنس پڑی۔,بطور پیش بندی وہ انہیں مغرب سے نکالنا چاہتے ہیں۔
پنجاب میں پاکستان کے ساٹھ فی صد افراد آباد ہیں۔,لیکن ریلیز کی تاریخ
جو اس نے کیا وہ ایسے تھا جیسے قانون کو اپنے ہاتھوں میں لینا,عام فوجی نمازی ہو
اور یوں شکاری پہلہ سے وہاں موجود ہونا ہونا یہ پر فائر کھولنا دیتاہے,تو قادری صاحب کے لوگ بھرم رکھنے کے لیے موجود ہیں۔
نئی سوچ بھی درکار ہے۔,لیکن تڑپنا اورچیز ہے۔
چلنے والوں کوعطیہ کرنے کے لیے ہوتی ہے,ٹینس اسٹار ثانیہ مرزا راجیو گاندھی کھیل رتنا ایوارڈکیلئے نامزد
پر منایا جانے لگا سوائے امریکہ‘,ان کے اظہار رائے پر پابندی عائدکرتی تو ہم اسے صدی کا بدترین فیصلہ قرار دیتے
لیبیا میں انتشار پیدا کیا جاتا ہے۔,پکانے کی ترکیب پر روشنی ڈالی
دلچسپی ہو سکتی ہے۔,جب چوہدری نثار کے گھر پر حملہ ہوا۔
محترمہ مریم ایک عرصہ سے متحرک ہیں۔,جاوید اختر بھی موجود تھے
فصل گل آئی امتحاں کی طرح,یہ سوٹ کتنے کا خریدا ہے
ان میں ہم نے اپنا حصہ کیا ڈالا ہے,فلاں ناراض ہوں۔
دوسرے والا ملازم عقلمند ہے,لیکن یہ موضوع کسی اور وقت کے لئے۔
علم طبیعی کا ایک بنیادی شعبہ ہے,بازار مندے پڑے ہیں۔
دل کے دورے سے بچ,کون ہے جو ان میں کسی کو اسلام کا نمائندہ کہہ سکے
سعودی عرب میں اتوار تیس مئی کو کورونا کے نئے کیسز ایک ہزار سے کم ہوگئے,عاصم لڑ کی کو پٹانے کی کو شش کر رہا ہے
موئن جو دڑو کا شمار قدیم ترین تہذیبوں میں ہوتا ہے,عوام کے حقوق اور مفادات کا تحفظ نہیں کر سکتا
یعنی یہ کر دیں گے۔,اور اس حوالے سے اکثر آپ نے
دوسروں کے لیے فکر مند ہونے کا بہانہ کرتا ہوں,ابھی تک استعمال ہوتی تھی
عجیب قسم کے ذہنی انتشار کو جنم دیا۔,گھومنے پھرنے کا ارادہ ہے تو ہماری خوب آؤ بھگت شروع ہو گئی
اس نے کچھ سنا ہی نہیں ہو۔,ﭨﮭﻮﻧﺲ ﺩﯾﺘﮯ ﺗﮭﮯ
بہت موقع دیا گیا۔,آج کا پاکستان سب کے سامنے ہے۔
نوازشریف اب ایک نئے تعارف کے ساتھ سامنے آرہے ہیں۔,تیلگو
گھومنے پھرنے اور قیام کرنے کا موقع ملا,اپنے آپ کو اعلی سمجھتا ہوں
فیفا ورلڈ کپ فرانس اور بیلجیئم اب تک ایونٹ میں ناقابل شکست ہیں,ملک ایک بار پھر دو جماعتی نظام کی طرف لوٹ گیا ہے۔
پرندے اللہ تعالی کی حسین تخلیق ہیں,سب ہر وقت اسی کے کنٹرول میں ہیں
ڈائمنڈ لیگویمن سو میٹر ریس جمیکا کی شیلی این فریزر نے جیت لی,سچ کو سب پسند کرتے ہیں اور سچے آدمی کی قدر کی جاتی ہے
جب وہ بول رہے تھے۔,یہ کوٹہ ہرطرح سے امتیازی ہے۔
جو کرنا ہے کرو,میرا کام بس تمہیں بتانا تھا
اس کے مریض مختلف رنگ میں تمیز نہیں کر سکہ,انگریزوں کی اگر مخاصمت کسی سے تھی۔
اس طرح دفاع پر خرچ ہونے والی رقم,میں دو منٹ میں واپس آ جاؤں گا
دوست کے گھر پہنچے,مفتیوں اور زاہدوں کا تو یہ کام ہے۔
بس شام ٹھیک گزر جائے۔,یہ سلسلہ چل رہا تھا۔
ابهی میں مصروف ہوں بعد میں ملتے ہیں,کچھ عرصہ پہلے لکھا جاتا تھا کہ غربت بھی فحاشی ہے۔
پر بالکل ختم نہیں کیا جاسکتا,آج کرکٹ کا ٹورنمنٹ ہورہا ہے ۔
کہ نبی صلی اللہ علیہ وسلم مسجد میں تشریف فرما تھے,بنیادی معیار مضبوط سفارش کا تھا۔
روڈ میپ پر دستخط پی سی بی نےمحمد اصف اور سلمان بٹ کو طلب کر لیا,خلیجی ممالک میں رہنے والے پاکستانی آن لائن ویزا لے کر اب کویت جا سکیں گے
خیر جو بھی ہو ہماری ضرورت پوری کرنے کو کافی تھا,ہمسایوں سے پر امن زندگی بسر کریں
کہ یہ سورج سے آنے والی زیریں سرخ انفرا ریڈ شعاعوں کو جذب کرلیتے ہیں,میں نے انسانیت کا وہ روپ دیکھا جو چراغ لے کر بھی ڈھونڈو
ختم ہونے کوجارہاہے۔,ایک مضبوط حزب اختلاف سیاسی ارتقا کے لیے لازم ہے۔
ان کا ہرگز نہ تھا۔,جو چراغ لے کر بھی ڈھونڈو تو شاید ہی پورے اسلام آباد میں ملے ۔
ریفریجریٹروں اور ڈیپ فریزروں وغیرہ میں ٹھنڈک کیلئے کیا جاتا تھا,دلچسپ ایڈونچر کا آغاز ہوتا ہے
آپ کی دعوت کا شکریہ,سٹاک مارکیٹ میں
روس میں پولیس نے اپنے ہی دوست کا جسم کاٹ کر بازار میں بیچنے والے شخص کو گرفتار کرلیا گیا ہے,میں لیموں پانی پیوں گا
عدالتی فیصلے کو معمول کا ایک واقعہ سمجھنا چاہیے۔,ایسے لوگ عام طور پر نظر نہیں آتے ۔
سید نور اپنی فلم چین ائے نہ سے کیا سکھانا چاہتے ہیں,جہاں پودوں کی نشوونما کو بہتر بنانے
یہ پڑھ کر آنکھیں بھیگ گئیں۔,"اس کے بعد ""شاندار""شکست سے دوچار ہونے والے بھائی"
تو کوئی پاگل ہی سنگریزے اٹھائے گا۔,ماہرین کی بقول گو کہ پلیٹ کی تقسیم کا یہ عمل کئی
سے بہت سے واپس اپنے ملک کو نہیں گئے۔,دیواروں کے کان ہوتے ہیں
ابھی تو شروع کا سین مکمل ہوا ہے۔,مجھے مزید کچھ نہیں کہنا ہے
بالینیز,کو ئی بھی لوگوں کو مرتا ہوا نہیں دیکھنا چاہتا
آپ نے امتحان کی تیاری مکمل کر لی ہے,"یہ کیفیت بے آواز مگر بے قرار کر دینے والی ہوتی ہے"""
لیکن بہت جلد نسان اور میٹسوبشی وغیرہ کی گاڑیاں جو کہ بیٹری چارج کرنے کے بعد کافی لمبی ڈرائیو کے قابل ہوں گی مارکیٹ میں,ریاضی کی علامتیں
وہ فوج جس کا کام سرحدوں کی حفاظت ہے اس نے ملک میں بڑے بڑے کاروبار شروع کر رکھے ہیں,یہ جو ہمارے ماحولیات کے مشیر ہیں۔
روزانہ کشمش کھان,یہ تو ہمارے روز مرہ کی بات ہے
ممبئی ائی پی ایل کے میچز چنائی سے باہر منتقل کر دیئے گئے,اکثر یورپ کے رنگ میں رنگ جاتے ہیں پھر ماں باپ روتے ہیں
اورغلطی پر ہیں۔,اسلام باد سی این جی کی فروخت کیلئے شیڈول جاری
میں تبدیلی کر کے ہم رنگ آمیزی کو بھی تبدیل,کہیں نظر نہ لگ جائے
اورنوعیت کی ہے۔,ہماری معیشت کو اگر ماضی قریب میں سنبھالا ملا ہے۔
ویرات کوہلی پر ب,کپتان کو بدلنے کی بجائے اپنی سوچ اور نظام کو بدلو
جہاں قوم کو قیادت کی ضرورت ہے۔,ان کا مستقبل خطرے سے خالی نہ ہو گا۔
لوگوں پر اعتبار نہیں کرتا,حالانکہ یہ والدین کافرض ہے بچوں کو خودکلینک لےکرجائیں۔
آعوام کے لئے بڑی,تو سوال اٹھایا جاتا ہے کیا احتساب نہ کیا جائے
مجھے دوسروں میں دلچسپی نہیں ہے,اپنے موقف کو ثابت کرنے کے لئے
سوات کی ریاست نے پاکستان کے ساتھ الحاق کیا تھا ۔,اس وقت تک سیاست موجود حقائق ہی کی ترجمانی کرے گی۔
یہ الگ بات ہے۔,جہاں تک اپنا تعلق ہے۔
ہاکی ورلڈ کپ بیلجیم کی جیت بھارت کوارٹر فائنل میں,پاکستان کے معنی خلوص کی سرزمین کے ہیں
چالیس پچاس سالوں میں دنیا کی تقریبا نصف آبادی پر مزدور,وہ ماحول پاکستان کا ماحول نہیں ہے۔
اس ضمن میں جو بات میرے دل میں گھس گئی کہ قرآن مجید کو سب سے اوپر والی شیلف میں رکھا گیا تھا,فوج جس کا کام سرحدوں کی حفاظت ہے
کسی نے میرے ملک کی حمایت نہیں کی تھی۔,بڑی باتیں چھوڑئیے
پاکستان میں نظریاتی لبرل عددی طور پر بہت کم ہیں۔,حکومت کو سخت ایکشن لینا چایئے جو بھی کتا بلا پاک فوج کے خلاف بکواس کرے
غیر مجاز فرد سے صادر ہونے والا فتوی یا قانون حکومت کی قوت نافذہ سے محروم ہوتا ہے,اور حضرت صفیہ رضی اللہ عنہا رات کے وقت آپ صلی اللہ علیہ وسلم سے ملنے کے لیے آئی تھیں
یہ سن کر بہت افسوس ہوا,پھر دادا جی نے جھاڑا کہ اتنی مسلمانی بھی اچھی نہیں ابھی میں ہوں ناں باریش گھر میں
اللہ ہمیں سوچنے سمجھنے اور دوسرے انسانوں کے دکھ اور تکلیف کو محسوس کرنے کی توفیق دے,یہ ماضی میں خلافت عباسیہ کا مرکز تھا
ریاست یہ سب کام اپنے وسائل کے تحت ہی کر سکتی ہے۔,کام فورا شروع کرتا ہوں
مس ہاگ ایلیانتی کا کردار ادا کرتی ہے,یہی حال باقی عادتوں کا ہے۔
بھارت میں انتہا پسندی بڑھے گی۔,سائنس کی زبان میں بات کریں
چترال میں موسم بہار کا شروع ہونا ہی مختلف پرندہ نمودار ہونا ہونا,ذہنی آزادی پائی ہے۔
اس کا مطلب یہ ہے,ظاہر ہے کہ یہ اپوزیشن کی تائید ہی سے ممکن ہو گا۔
پاکستان کے مطالبے کی یہی بنیاد تھی۔,فرانس کے کشتی بان نے بحیرہ شمال کو کم ترین وقت میں پار کرنے کا ریکارڈ بنا دیا
وہ تب نہ تھے۔,اسرائیل بھی دنیا کے سامنے خو دکو مظلوم کہتا ہے۔
وطن قبیلے اور نسل کی محبت انسان کی فطرت میں ہے۔,نہیں رہے گا۔
فرانسیسی,مذہب کی تعبیر پر اس نے اپنا تسلط قائم کر رکھا ہے۔
تو وہ اب ہے۔,اور اس قیمت کو پاکستانی روپیہ تصور کر سکتے ہیں
میرا مجموعی تاثر یہ ہے کہ اس کا کام اچھا ہے,خیالات رکھتا ہے مگر وہ حیوانات کے ساتھ
اللہ کے آخری رسول سیدنا,رہی دادی تو گھر میں سب سے بڑی فتنہ پرور وہی ہے۔
یہ دیکھ کر تو میرے دماغ نے کام کرنا چھوڑ دیا,مگر قومی ٹیم کی متواتر ناکام کارکردگی
سان کام نہ ہوگا ۔,دوسری کے ذمہ برتن دھونا
یہ جو موجودہ ہیں۔,جو سوکھے لوگ ہیں۔
وطن قبیلے اور نسل کی محبت انسان کی فطرت میں ہے۔,نہیں رہے گا۔
دبئی ئی سی سی کا عمراکمل کیخلاف تحقیقات جاری رکھنے کا فیصلہ,محمد عرفان کا ٹی ٹوئنٹی کرکٹ میں حیرت انگیز ریکارڈ
پاکستان ویمن کرکٹ ٹیم کامیاب دورہ سری لنکا کے بعد وطن واپس پہنچ گئی,تو لوگ اس کی عظمت کے اعتراف میں مضامین لکھتے ہیں۔
یہ چال یہ سوچ کب‘ کیسے بدلے گی,شمالی امریکہ کا علاقہ
عالمی مالیاتی ادارے اس نظام پر بھروسہ کرتے ہیں۔,ویسٹرن آسٹریلیا ٹائم
چوہدری شجاعت اس وقت وزیر داخلہ تھے۔,کہیں ایسا تو نہیں کہ
پاکستانی کیا طرح صبح سویرے بیدار ہونا اور پریس کانفرنس کرنا,پریٹنگ سسٹمز کی سہولیات سے فائدہ اٹھائیں
عدالت نے پارلیمنٹ سے یہ درخواست کی ہے,ٹی بی کی ویکسین
تھی یاروں کی بہتات تو ہم اغیار سے بھی بیزار نہ تھے,مٹی کے چولہے صحت
وزیر اعظم نے ورلڈ اکنامک فورم پہ اپنی قادرالکلامی کی دھوم مچا دی۔,آگے دیکھیے ہوتا ہے۔
تو عید مختلف اوقات میں کیوں نہیں منائی جا سکتی,سعودی عرب نے ویڈیو گیمز فیفا ورلڈ کپ جیت لیا
آٹھ منہ آٹھ ہی باتیں ۔,اس میں ایک مسئلہ ہے۔
کامن ویلتھ گیمز پاکستان اور ملائیشیا ہاکی ٹیم کا میچ ایک ایک گول سے برابر,یہ فرض کرتے ہوئے کہ یہ استغاثہ کے لیے تسلسل قائم کر سکتی ہے
اس سے پہلے اس کی حیثیت محض ایک رائے کی ہوگی,اسلام کے تیسرے خلیفہ
وہ اسے انسان کی تکریم سکھاتا ہے۔,وہ ایسی سوسائٹی تھی۔
پنجاب کی فلور مل,یہ بنیادی حقیقت ہے۔
دو ننھے منے بھائی ایک ساتھ بیٹھے ہیں,والی فلم ’سوئی دھاگہ‘ ہے۔
تو پھر جو کچھ ہے۔,فطری تعلق پاکستان اور پھر چین سے ہی ہو سکتا ہے۔
پاکستانیوں نے جنگلی حیات کا صفایا کرنے کا تہیہ کر رکھا ہے,اوروہ اپنے گھروں کو لوٹتے ہیں۔
دوسروں کے پوشیدہ مقاصد پر شکرمیں رہتا ہوں,مریضوں سے کھچا کھچ بھرا رہتا ہے۔
خود آزما لیجیے۔,کاروباری لوگ بھی بڑے چالاک ہوتے ہیں۔
اورکوئی جمہوریت کو کوس رہا ہے۔,عوام لاتعلق ہیں۔
خاموشی اس قدر تھی کہ ہوا کی سنسناہٹ سنی جا سکتی تھی,اتنا انوکھا نہیں۔
اور یہ سے بڑھنا یہ کہ حکومت یہ کو تحفظ دینا کا لئے یہ کو اسلحہ لائسنس جاری کرنا ہونا,نریندر مودی کو ہم نے ہٹلر کہہ دیا۔
تو ہماری جماعت کو اس پر کوئی اعتراض نہیں ہو گا۔,ایسٹرن آسٹریلیا ٹائم
تصویر نہ کھنچوان,ایک ہزار روپے سے شروع کمپنی لاکھ کروڑ کی مالک بن گئی
پاکستان میں ہمارا کل اسلام نماز جمعہ اور مولبی کی تقریر کے علاوہ کچھ نہ تھا,تاہم کہانی نے واقعتا اپنے تمام امکانات کی کھوج نہیں کی
